time,MAC,class_id,level
1368655771,10:68:3F:5E:25:70,5898764,-61
1368655771,40:A6:D9:FB:47:70,3801348,-94
1368655771,40:A6:D9:FB:48:54,3801348,-91
1368655771,64:B9:E8:DE:CF:F9,3801348,-86
1368655771,64:B9:E8:DE:D9:B7,3801348,-91
1368655771,98:D6:F7:30:82:57,5898764,-81
1368655771,98:D6:F7:30:E8:11,5898764,-73
1368655771,B0:EC:71:BB:27:38,5898764,-70
1368655771,D0:DF:C7:C9:BD:A5,5898764,-76

1368655821,00:06:66:46:9A:0A,7936,-88
1368655821,00:06:66:46:B6:FB,7936,-77
1368655821,00:1D:4F:8A:D7:C0,3670276,-58
1368655821,00:1E:C2:94:6D:EE,3801348,-73
1368655821,00:1E:C2:95:92:57,3801348,-70
1368655821,00:1E:C2:98:1B:79,3801348,-88
1368655821,10:68:3F:57:8D:7A,5898764,-89
1368655821,10:68:3F:5E:25:70,5898764,-61
1368655821,40:A6:D9:FB:47:70,3801348,-97
1368655821,40:A6:D9:FB:48:54,3801348,-90
1368655821,64:B9:E8:DE:CF:F9,3801348,-84
1368655821,64:B9:E8:DE:D9:B7,3801348,-88
1368655821,8C:2D:AA:41:AF:FA,3801348,-98
1368655821,98:D6:F7:30:82:57,5898764,-76
1368655821,B0:EC:71:BB:27:38,5898764,-76
1368655821,D0:DF:C7:C9:BD:A5,5898764,-68

1368655878,00:06:66:46:9A:0A,7936,-93
1368655878,00:06:66:46:B6:FB,7936,-86
1368655878,00:1D:4F:8A:D7:C0,3670276,-66
1368655878,00:1E:C2:94:6D:EE,3801348,-72
1368655878,00:1E:C2:95:92:57,3801348,-70
1368655878,00:1E:C2:98:1B:79,3801348,-90
1368655878,00:1F:F3:A4:E4:F1,3670276,-93
1368655878,10:68:3F:57:8D:7A,5898764,-73
1368655878,10:68:3F:5E:25:70,5898764,-66
1368655878,40:A6:D9:FB:48:54,3801348,-86
1368655878,64:B9:E8:DE:CF:F9,3801348,-87
1368655878,64:B9:E8:DE:D9:B7,3801348,-93
1368655878,98:D6:F7:30:82:57,5898764,-74
1368655878,B0:EC:71:BB:27:38,5898764,-90
1368655878,D0:DF:C7:C9:BD:A5,5898764,-74

1368655923,00:06:66:46:9A:0A,7936,-88
1368655923,00:06:66:46:B6:FB,7936,-94
1368655923,00:1D:4F:8A:D7:C0,3670276,-65
1368655923,00:1E:C2:94:6D:EE,3801348,-72
1368655923,00:1E:C2:95:92:57,3801348,-68
1368655923,00:1E:C2:98:1B:79,3801348,-87
1368655923,00:1F:F3:A4:E4:F1,3670276,-84
1368655923,10:68:3F:57:8D:7A,5898764,-85
1368655923,10:68:3F:5E:25:70,5898764,-65
1368655923,40:A6:D9:FB:48:54,3801348,-95
1368655923,64:B9:E8:DE:CF:F9,3801348,-85
1368655923,64:B9:E8:DE:D9:B7,3801348,-88
1368655923,98:D6:F7:30:82:57,5898764,-81
1368655923,98:D6:F7:30:E8:11,5898764,-74
1368655923,B0:EC:71:BB:27:38,5898764,-77
1368655923,D0:DF:C7:C9:BD:A5,5898764,-82

1368656043,00:06:66:46:9A:0A,7936,-84
1368656043,00:06:66:46:B6:FB,7936,-82
1368656043,00:1D:4F:8A:D7:C0,3670276,-62
1368656043,00:1E:C2:94:6D:EE,3801348,-72
1368656043,00:1E:C2:95:92:57,3801348,-67
1368656043,00:1E:C2:98:1B:79,3801348,-90
1368656043,00:1F:F3:A4:E4:F1,3670276,-83
1368656043,10:68:3F:57:8D:7A,5898764,-75
1368656043,10:68:3F:5E:25:70,5898764,-66
1368656043,40:A6:D9:FB:47:70,3801348,-93
1368656043,40:A6:D9:FB:48:54,3801348,-98
1368656043,64:B9:E8:DE:CF:F9,3801348,-79
1368656043,64:B9:E8:DE:D9:B7,3801348,-85
1368656043,98:D6:F7:30:E8:11,5898764,-68
1368656043,B0:EC:71:BB:27:38,5898764,-84
1368656043,D0:DF:C7:C9:BD:A5,5898764,-77

1368656092,00:06:66:46:B6:FB,7936,-90
